0090FE80    locale::classic
00B5CBA0    UIAuctionHouseSearchContent::DataSourceNotification
00D3F650    CreateHesitationDump
00ACE530    Window::SetRenderState22
00D3D810    AllocateMemoryEx
00885CE0    Blizzard::Storage::StorageSystem::FindOpenSequence
00A3D560    Unk568BytesStruct_sub_A43C50
00ACDBA0    Window::SetCursorProperties
00B53840    UIAuctionHouseBiddingContent::DataSourceNotification
00B584A0    UIAuctionHouseSellingContent::DataSourceNotification
00AC9A50    Window::CreateVolumeTexture
00AC98C0    Window::CreateCubeTexture
00FDB520    Platform_sub_FBA7B0
0093D780    UnkHeroStructInHeroStruct_sub_93C260
00ACDC40    Window::ShowCursor
0081C280    SNOFileGetName
0086CA40    InitializeNetwork
00CE6890    Blizzard::Memory::GetPhysicalMemory
00FD8480    Platform::APICleanup_Whisper
00FD8780    Platform::APICleanup_Authentication
00FD8300    Platform::APICleanup_Games
00FD8540    Platform::APICleanup_Resources
00FD8360    Platform::APICleanup_GameServer
00FD85A0    Platform::APICleanup_Chat
00FD8660    Platform::APICleanup_Followers
00FD8420    Platform::APIDestroy_ExchangeObjectProvider
00ACE590    Window::SetRenderState89
00FD87E0    Platform_sub_FB7B70
00B93D40    BnetGames::Party_MyPartyEvent
00FD84E0    Platform::APICleanup_UserManager
00FD8600    Platform::APICleanup_Party
00FD86C0    Platform::APICleanup_Friends
00FD83C0    Platform::APICleanup_GameUtilities
00FD8720    Platform::APICleanup_Toons
00A08DC0    System_Mopaq::DeltaData::OpenSrcFile
00A770E0    BnetService::Logout
00D4D660    File::Write
00A79620    BnetService::Shutdown
0097A5C0    Window::SetSurface
00B93BB0    BnetGames::Platform_LeaveGame_LeavePartyCallback
00FD99F0    Platform_sub_FB8C80
00A69EB0    BnetService_sub_A6BBC0
00FC5F50    Platform::IsConnected
0081B8F0    SNOFileOpen
00A70040    BnetService::Platform_ReportPlayerCallback
00D4CF50    File::Delete
00B5C200    UIAuctionHouseSearchContent::CategorySelected
00C3AF50    UserManagerListener::OnUserBlocked_OnRequestField
0087DA20    ActorCommonData::GetContactOffset
00823D40    GameCommonGameFlagIsSet
00C2E120    Party::NotifyAdvertisedPartyEvent
008146B0    PtFuncCompare
00ACD500    Window::SetStreamSource
00ACAB50    Window_sub_AFD150
00F6D0F0    UIAuctionHouseSearchContent::OnClose
00B58370    UIAuctionHouseSellingContent::AuctionListCallback
00D03090    TlsCallback_0
00ACA900    Window_sub_AFCF00
00ACD060    Window::CloseWindow
00954330    SoundPlatform::StopOVTStream
00B223C0    Hero_sub_B42C60
008212B0    SNOFilesDispose
00ACC3D0    Window_sub_AFE9D0
00BD6BF0    Platform::IsBasicAPIsInitialized
00BDE580    RemoteStorage::OnGetToonSettings
00BDE410    RemoteStorage::OnGetGameAccountSettings
00ACD0C0    Window::ReCreate
00BA5600    UpgradeToWhisper_CreateChannelCallback
00817300    sGetSNOCoreDataHash
00C4D690    Blizzard::File::GetFileInfo
00ACC140    Window::Create
00BD8A60    Platform::Connect
00FED3B0    Platform::OnConnectionReestablished
00BBF0F0    UICallback_SandBox02_JoinPartyFailure
00B537A0    UIAuctionHouseBiddingContent::BidListCallback
00FD3D60    Platform::APICleanup_Presence
00BE6420    Window::SetPixelShader
00B50010    UIAuctionHouseCompletedContent::DataSourceNotification
00BD8610    Platform_sub_B8DB80
00A3FA40    BnetService_sub_A78120
00FC6280    Platform::OnConnected_Internal
00BDB8B0    RemoteStorage::OnLoadAccountDigestClient
00B50230    UIAuctionHouseCompletedContent::OnOpen
00AD4DE0    UnkHeroStruct_sub_AD56D0
00BDBC00    RemoteStorage::OnGetAccountItems2
00BDBA20    RemoteStorage::OnGetHeroItems2
00D4D560    File::Read
00B3B9E0    UIAuctionHouseCreateAuctionDialog::Close
00B3AC10    UIAuctionHouseBidDialog::Close
00B3A480    BuyoutDialog::Close
00B58D60    UIActionHouseSellingContent::OnOpen
00B582B0    UIAuctionHouseSellingContent::CategorySelected
00B536E0    UIAuctionHouseBiddingContent::CategorySelected
00BD85A0    Platform::Startup
00813390    fnEnum
00FC5F80    Platform::OnDestroyAllAPIs
00D4D0E0    File::Create
00ACAE50    Window_sub_AFD450
00A6C810    BnetService_sub_A6E430
00FC6130    Platform::APICleanup_RemoteStorage
00FC60A0    Platform::APICleanup_Search
00A79C60    BnetService_sub_A7B850
00BD8570    Platform_sub_B8DAF0
00BDB590    RemoteStorage::OnWriteGameAccountSettings
00BDB710    RemoteStorage::OnWriteToonSettings
00FC6080    Platform::APICleanup_LocalStorage
00B93B40    BnetGames_sub_BAA4F0
00FC6360    Platform::CheckAssert_OnAPIInitialized
009542C0    SoundPlatform::PlayOVTStream
